id_bien;No_voie;B_T_Q;Type_voie;Voie;Code_postal;id_codedep_codecommune;Type_local;surface_carrez;Surface_local;total_piece
12957;65;;RUE;ANATOLE LE BRAZ;22700;22168;Appartement;25,28;26;1
12958;5384;;;SOLANA;20118;2A348;Maison;101,85;98;4
12959;4;;RUE;DE LA LIBERTE;30660;30123;Maison;78,68;76;2
12960;50;;RUE;NOTRE DAME;30000;30189;Appartement;23,38;22;2
12961;25;;BD;TALABOT;30000;30189;Appartement;62,65;63;3
12962;17;;AV;NOTRE DAME DES PASSES;33120;33009;Maison;30,03;29;2
12963;1;;RUE;DU GD RABIN JOSEPH COHEN;33000;33063;Appartement;20,67;24;1
12964;141;;RUE;AIME BROUSTAUT;33470;33199;Appartement;42,94;42;2
12965;6;;BD;DE LA PLAGE;33680;33214;Appartement;26,69;26;1
12966;17;;RUE;DES COTEAUX;33700;33281;Appartement;81,36;76;4
12967;39;;RUE;PIERRE DE COUBERTIN;33700;33281;Maison;122,89;120;4
12968;45;T;RUE;DE LA SOURCE;33700;33281;Maison;158;158;4
12969;9001;;RUE;DU CHATEAU D EAU;33600;33318;Appartement;64,1;65;4
12970;5;B;RUE;MAQUIS DES VIGNES OUDIDES;33780;33514;Appartement;17,45;18;2
12971;2;;RUE;DES CHANDELLES;34300;34003;Appartement;24,19;24;1
12972;13;;RUE;MONTGOLFIER;34540;34023;Appartement;45,13;44;2
12973;4;;RUE;EDOUARD VII;34070;34172;Appartement;34,27;34;1
12974;300;;RUE;BUFFON;34070;34172;Appartement;23,57;23;1
12975;18;;RUE;GEORGES BRASSENS;34200;34301;Appartement;22,62;30;1
12976;11;;RUE;D AQUITAINE;34200;34301;Appartement;121,5;129;4
12977;65;;RUE;GAMARD;37300;37122;Appartement;34,29;34;1
12978;6;B;RUE;DE LA BOURDE;37000;37261;Appartement;21,4;15;1
12979;8;;AV;DE VIGNATE;38610;38179;Appartement;18,5;19;1
12980;33;;QUAI;JONGKIND;38000;38185;Appartement;117,86;126;4
12981;58;;BD;GAMBETTA;38000;38185;Appartement;81,03;80;4
12982;27;;AV;JULES VALLES;38400;38421;Appartement;89,16;88;4
12983;91;;RTE;DE TRELARCE;39220;39470;Appartement;23,55;23;2
12984;3;;RUE;DU CHANGE;41100;41269;Appartement;38,2;40;2
12985;6;;RUE;DE LA BACLERIE;44000;44109;Appartement;43,66;48;2
12986;36;;RUE;DU CROISIC;44600;44184;Appartement;50,4;35;2
12987;1;;RUE;JEAN PIERRE DUFREXOU;44600;44184;Appartement;100,52;103;4
12988;51;;RUE;MAURICE DANIEL;44230;44190;Appartement;85,36;80;3
12989;6;;RUE;JEAN-PAUL GIRARD;49240;49015;Maison;76,68;80;4
12990;117;;RUE;DE LA VENDEE;49300;49099;Appartement;54,46;54;3
12991;64;;RTE;DE COUTANCES;50350;50165;Appartement;68,1;72;3
12992;23;;RUE;JEAN MOULIN;50000;50502;Appartement;59;57;3
12993;6;;RUE;DES MARAICHERS;54220;54339;Maison;116,4;117;5
12994;15;B;CRS;DE CHAZELLES;56100;56121;Appartement;94,68;90;4
12995;1;;RUE;PROF PIERRE LEPINE;56100;56121;Appartement;53,2;53;2
12996;60;;RUE;DE MERVILLE;56100;56121;Appartement;45,4;42;1
12997;10;;RUE;PIERRE ET MARIE CURIE;56890;56206;Appartement;50,05;50;2
12998;6048;;RUE;DES PRESSES;56470;56233;Appartement;29,53;30;2
12999;2;B;RUE;PASTEUR;58000;58194;Appartement;93;93;4
13000;540;;RUE;DU POLYGONE;59500;59178;Appartement;18,72;19;1
13001;60;;RUE;ANATOLE FRANCE LOMME;59160;59350;Appartement;54,09;54;2
13002;61;;AV;DU PRESIDENT KENNEDY;59800;59350;Appartement;83,39;84;4
13003;9001;;;LES TILLEULS RUE MEUNIER;59700;59378;Appartement;83,75;83;4
13004;58;;RUE;PIERRE CATTEAU;59150;59650;Appartement;68,48;67;3
13005;14;;RUE;HENRI GAUDICHET;60000;60057;Appartement;47,27;46;2
13006;13;;RUE;DU LION BLEU;60820;60086;Appartement;41,92;44;2
13007;35;;BD;CARNOT;62000;62041;Appartement;59,06;60;3
13008;2;;RUE;DES ANGLAIS;62930;62893;Appartement;38,44;25;3
13009;14;A;RUE;DU STADE;65100;65286;Appartement;53,43;56;3
13010;2;;AV;RAYMOND DE VEYSSIERES;69130;69081;Appartement;69,01;67;4
13011;161;;RUE;CHARLES MACHET;69760;69116;Appartement;51,4;52;2
13012;4;;AV;EISENHOWER;69160;69244;Appartement;75,19;74;4
13013;176;;RUE;LEON BLUM;69100;69266;Maison;86,02;60;3
13014;42;;RUE;ANTONIN PERRIN;69100;69266;Appartement;30,13;29;1
13015;4;;RUE;DE LA BOURSE;69001;69381;Appartement;40,29;40;2
13016;157;;RUE;JOLIOT CURIE;69005;69385;Appartement;73,52;79;3
13017;39;B;RUE;SERGENT MICHEL BERTHET;69009;69389;Appartement;18,33;18;1
13018;56;;RUE;SAINT HONORE;75001;75101;Appartement;18,72;17;1
13019;52;;RUE;DU VERTBOIS;75003;75103;Appartement;51,01;52;2
13020;10;;RUE;BOUTAREL;75004;75104;Appartement;48,34;48;3
13021;15;;RUE;OUDINOT;75007;75107;Appartement;46,47;46;2
13022;36;;AV;DE LA MOTTE PICQUET;75007;75107;Appartement;158,54;155;6
13023;4;;RUE;CHEVERT;75007;75107;Appartement;61,41;58;2
13024;15;;RUE;VIGNON;75008;75108;Appartement;56,12;54;2
13025;5;;RUE;HENRY MONNIER;75009;75109;Appartement;35,51;36;2
13026;95;;RUE;LA FAYETTE;75010;75110;Appartement;39,6;41;3
13027;12;;PAS;ST PIERRE AMELOT;75011;75111;Appartement;39,02;36;1
13028;15;;RUE;DES BOULETS;75011;75111;Appartement;16,74;18;1
13029;281;;RUE;DU FBG ST ANTOINE;75011;75111;Appartement;68,61;69;3
13030;115;;RUE;DE REUILLY;75012;75112;Appartement;53,77;54;3
13031;56;;RUE;DE L AMIRAL MOUCHEZ;75014;75114;Appartement;62;64;3
13032;7;;RUE;ANTOINE CHANTIN;75014;75114;Appartement;79,04;72;3
13033;7;;RUE;BOYER BARRET;75014;75114;Appartement;41,53;40;3
13034;61;;RUE;DE GERGOVIE;75014;75114;Appartement;21,55;35;1
13035;3;;RUE;ROSENWALD;75015;75115;Appartement;81,5;80;3
13036;26;;RUE;SAINT LAMBERT;75015;75115;Appartement;70,59;70;3
13037;11;;VLA;DE LA CROIX NIVERT;75015;75115;Appartement;25,38;26;1
13038;14;;RUE;GRAMME;75015;75115;Appartement;38,03;42;2
13039;92;;RUE;BALARD;75015;75115;Appartement;40,77;38;2
13040;14;;RUE;LE MAROIS;75016;75116;Appartement;31,71;32;1
13041;23;;RUE;VAN LOO;75016;75116;Appartement;76,9;78;3
13042;77;;RUE;BOILEAU;75016;75116;Appartement;41,08;43;2
13043;26;;RUE;POUSSIN;75016;75116;Appartement;27,14;40;1
13044;6;;RUE;ROBERT LE COIN;75016;75116;Appartement;47,01;43;1
13045;12;;RUE;EMILE ALLEZ;75017;75117;Appartement;40,87;42;1
13046;16;;BD;PEREIRE;75017;75117;Appartement;126,84;116;4
13047;37;;RUE;DE NANTES;75019;75119;Appartement;33,01;32;2
